Account,AccountClose,AccountOnline,Account_Issue,ApplicationStatus,BillingQuery,CardDeclined,Card_Compromise,ChargeReview,Complaint,DataBreach,Entertainment,FraudQuery,Online_Login,PaymentExecute,Payments,Representative,Rewards,Statement,Travel
2.781077302705418,21.48412994505536,5.745946691723633,0.8099556093367157,0.8337990803679385,14.736417667420444,13.936582990252765,0.4204280379072687,40.0826685488364,0.3411812552119473,0.09457585879850794,1.9784746440661563,26.765245818803653,9.492017754122118,88.30230983423513,20.10839683071802,201.71833015883766,20.65039527564685,4.480936576941229,27.396396000808693
2.6426943033275396,20.606187072801845,5.536530096957731,0.7662666952869728,0.7858652858141253,14.052818159395118,13.368519577355789,0.4048067602912415,38.834368311795366,0.31718581456006856,0.086820197708249,1.935248380311482,25.931491970231637,9.235113069692302,86.06108241043823,19.545187014983156,194.73383282321768,19.896366104475714,4.276834093927199,26.596487712130777
2.5063332442829833,19.74511029619962,5.325508170033338,0.7240106686188323,0.7400553306569981,13.372815165298682,12.796938148575205,0.3894528067622045,37.567201940688626,0.2947610409724808,0.07928654211542785,1.8910786165459008,25.049849115819992,8.976143897507013,83.82915512746543,18.98637918727934,187.54842091686325,19.140038857363955,4.078787877166716,25.789279480168656
2.369995019019582,18.875315150655577,5.108026225718592,0.6825008447692742,0.6961166200617932,12.683582569949188,12.216498815127673,0.3740973001145218,36.26259336890717,0.27362330299253523,0.07188049570493371,1.8438922284243877,24.11094783401709,8.705282679879728,81.56441149334763,18.41944086074469,180.11013812472606,18.359353900439658,3.8815547436709563,24.9528666719231
2.2318845703741346,17.974151465263628,4.879747419551927,0.6410669075624313,0.6537288785692985,11.97501913902662,11.622812668378367,0.3584642490085348,34.90461533784469,0.253433869975648,0.06450873925469214,1.791640889331977,23.10910017855736,8.413218352469956,79.22036791787728,17.831792611869137,172.38835089213956,17.535568582647336,3.680410766656574,24.06750987415594
2.0906138957302356,17.02421664161665,4.637318095944028,0.5991219958886547,0.6125471644531932,11.240801459577925,11.013058855551911,0.3422982281908762,33.48140131951957,0.2338317423051195,0.05708909305150689,1.7325053236872399,22.042937697640706,8.092053054679692,76.7495855586677,17.211817236886528,164.37709173573433,16.655178085627053,3.4715934072516585,23.117337799983936
1.9453653704609284,16.015319217162006,4.378762759016133,0.556221801315403,0.5722428258865171,10.479071313459627,10.386441331632303,0.32539028693626393,31.986256183217968,0.21446709074674608,0.049559599846569435,1.665096385730961,20.915654847716283,7.736156828594286,74.10755284577117,16.549866943540003,156.09588656601116,15.711429538533032,3.252676036708708,22.09182268330567
1.7959956014500165,14.945761112210496,4.103752679797689,0.51211011140045,0.5325396408969592,9.692636162359673,9.744428395650576,0.3075998680580796,30.418348239376712,0.19503313809447986,0.04188589377375007,1.588627283952377,19.73482629653925,7.342862783181939,71.25682361712735,15.839181788835859,147.58804940021005,14.705164792052193,3.0228202887859243,20.986841988593515
1.6430646329109604,13.822643311331104,3.8137003728443153,0.46674592213507005,0.4932425980728006,8.888621020307301,9.09073963857427,0.2888707246842468,28.78289817220684,0.17529410021605152,0.034066238564183005,1.503030283170249,18.511822089543323,6.912881216688528,68.17107707634653,15.076617968584124,138.91675263167085,13.644792417394777,2.782857704172807,19.805161339503226
1.4877845591670855,12.661041828935172,3.5116544992854006,0.420308986962296,0.45425723225783177,8.07760085430708,8.431077551108201,0.2692393130375237,27.090834436602545,0.15510682257677466,0.026133805723902004,1.4089964460935454,17.260899631488652,6.450339213311488,64.83866361543517,14.26308693919089,130.1594700579053,12.545328528860676,2.5351744808522367,18.5562384894892
1.3318938847441553,11.482121414735724,3.2020024973335346,0.37318328780192767,0.41559818488343914,7.272340698511881,7.772638835092296,0.24883488590846237,25.357951111557636,0.1344341136912881,0.018156003594179015,1.307928344169274,15.9980936041827,5.962411020328025,61.26515127265527,13.403630140177263,121.4015791226077,11.426625817003234,2.2834078091224717,17.255346892916386
1.1774763278250555,10.310488387793622,2.8900232676458053,0.3259208991415925,0.3773866722570891,6.486345962620457,7.12347469516247,0.22787141106294073,23.60366960887513,0.11334851183309591,0.010230932524011749,1.2018108412758797,14.74004510754307,5.458581031642573,57.47442406381965,12.507098066900122,112.729958580993,10.311077063285973,2.0319996625357937,15.92212758556283
1.026751801770815,9.17125225330375,2.5813596274680966,0.27919138825999923,0.33983768517968294,5.732454133546021,6.491791386959672,0.20663234141549092,21.84955594291565,0.09202624193574716,0.0024812951460269073,1.0930200450308405,13.502906163980752,4.949654038898585,53.508022528906764,11.585459083398279,104.22732467444055,9.221179961171492,1.7856822793220397,14.578771601882437
0.881870487293166,8.087309897920479,2.281492003842179,0.23372361203942238,0.3032388105002386,5.021673234665197,5.885286439501218,0.1854500072855021,20.11776973149603,0.07073224532710864,-0.004953700335658895,0.9841010773320698,12.301428402764696,4.446674560972621,49.422648783401115,10.652820321669562,95.96784371131234,8.177353397199251,1.5489797678371424,13.248087764276189
0.7447375217893364,7.0772748928122695,1.9952880658840524,0.19024715850928686,0.26792335991036276,4.36240274338142,5.310601769979999,0.1646818591085819,18.429615603667752,0.049798171499837895,-0.011927766484795876,0.877548579716064,11.148303417610208,3.9599248137464267,45.286043413578824,9.724286766125157,88.01429540106604,7.196305635112813,1.3257996824625025,11.951710363101965
0.6168872064081297,6.154286882308901,1.726680813662584,0.1494397405518475,0.23424086923091214,3.7600830139582007,4.772946987293577,0.14468590253909008,16.804335531698896,0.029595904725528532,-0.018297556086727007,0.7756194202055835,10.053777209959003,3.498139112633436,41.17171718873755,8.814804740234035,80.41679790337628,6.290107347759162,1.1191617356512462,10.708651750531834
0.49941449825088324,5.325720909487734,1.4784975682600745,0.11188493415858414,0.20252794894217074,3.217236127179369,4.275912391683546,0.12579745731087,15.258230876592421,0.010509437574191427,-0.023932554630420877,0.680196918331951,9.025521488923658,3.068013908453895,37.15321860501793,7.938128452505472,73.2128896644597,5.465966294812216,0.9310775472790747,9.53432310298302
0.3929609600275177,4.593640394713259,1.2524330901042222,0.07804232614709261,0.17308198917635775,2.7338039240659864,3.821459802000942,0.10830892433955586,13.804147495224761,-0.007092308644787382,-0.02872420020999067,0.5927134991619742,8.068716505300909,2.6740266686152,33.298687112396166,7.106016458598832,66.42862263317386,4.726578334345863,0.7625655510863882,8.440055723864797
0.2977446088313578,3.955739738322663,1.0491385182193147,0.04822997536990914,0.1461395004342072,2.3076651566537913,3.410056557583702,0.09245368802990384,12.451307225258558,-0.02287967692189896,-0.03259369278443347,0.5141275075516718,7.186285803409005,2.3185216266660027,29.66636424016333,6.327718185772577,60.0802635470475,4.070863986520099,0.6137657764290534,7.43307660422607
0.2136192697489001,3.4065076155085707,0.8683870767615829,0.022617525665166838,0.12186008688358241,1.935219304304491,3.0409065290425934,0.07839473681331688,11.205432083077035,-0.036582179473327314,-0.03549807095312518,0.44494233098510727,6.379221591222347,2.001987015329341,26.30153345693438,5.60976079846643,54.176215035892845,3.494891000527856,0.4841122902960302,6.516839132534261
0.14014888046988472,2.9383882628229996,0.7092769680783202,0.0012275432836557076,0.10031636994193449,1.611949205762683,2.7122311053991153,0.06621815044715817,10.069086922689076,-0.04800354020946629,-0.03743424036603327,0.38525281913050335,5.646947131565374,1.723438819893071,23.23508940401545,4.956004283469302,48.718838077642516,2.992815723644358,0.37252460127933085,5.691586968594233
0.07668465647989153,2.5427934348055516,0.5704385539398742,-0.01605733566715206,0.08148971326691212,1.3329064978860679,2.4215599984482394,0.05593132333616113,9.04216129081227,-0.05703186434827234,-0.03844072554084421,0.33480472855522736,4.98767557895922,1.4808353564838002,20.483665607250593,4.367904424428109,43.70595974745077,2.557728288416528,0.27758910509671697,4.955032199246023
0.022436791827713076,2.210894078942932,0.45022305402865626,-0.02948325474187885,0.06527138015707235,1.0930937697388052,2.1660026290707615,0.04746566519597906,8.122418282793387,-0.06364523817145407,-0.03859698911520881,0.2930562865130508,4.398739310371102,1.2714668964778815,18.051035729873533,3.8449113340541423,39.13196426303619,2.182340289330729,0.19771338308896147,4.303049542304771
-0.023463727790821953,1.9341808526656719,0.3468603245974007,-0.03941086340843403,0.05146873880242131,0.8877401985590578,1.942482495349303,0.04068349639938407,7.306052617192654,-0.06791311511530118,-0.03802023235587959,0.2592355132397639,3.876877168401032,1.0922871947563753,15.93038112937197,3.3849333558976538,34.98847202558393,1.8594971512051042,0.131246694032775,3.7303171397551447
-0.06191435553975755,1.704820490181902,0.2585817861245825,-0.046297844864018445,0.03981623030011394,0.7124818552950765,1.7479270231621693,0.03538886714943623,6.588217537790494,-0.06999369238711595,-0.03685967521197442,0.23239146426758794,3.418477542886291,0.940173616214095,14.106992356607872,2.984808095675305,31.2646962643747,1.5825264876851253,0.07656772557868163,3.2308637424624775
-0.09380016453073137,1.5158526072594323,0.1837103923193577,-0.05067746317171373,0.029990908029300822,0.563464852435333,1.5794128208897131,0.031342002263404556,5.963496974056758,-0.07012723113326336,-0.03528843035294604,0.21144119449394538,3.019782174751704,0.8121168847194138,12.561025299836983,2.6407390434692433,27.947619096640654,1.3454491513295515,0.03214524480534808,2.7985068134914433
-0.11996071231916061,1.3612744433003519,0.12072274491678248,-0.0531321018754225,0.021632335541754477,0.43739119639497215,1.4342708658099075,0.028276952112621156,5.426313590312305,-0.06862504921338886,-0.033493242059459916,0.19521648690926408,2.6770592121508026,0.7053499526179943,11.270032678713466,2.3486734841575854,25.02214431058288,1.1430848236537763,-0.0034208594509804735,2.4271841214644394
-0.14116208932219343,1.2360553645986596,0.0682896100591841,-0.05426111018690283,0.014366416479451694,0.3315258051698222,1.3101583759842619,0.02592179228033431,4.971274032132336,-0.06585384428249785,-0.03166255396165185,0.18251494831363146,2.3867551080881424,0.6174291064322157,10.211106168759542,2.1046123101605154,22.47136559038655,0.9710828434863563,-0.031370794099526034,2.111192627158317
-0.15807211936370447,1.136113617517259,0.02530089618463771,-0.05464320478782325,0.00783230988270378,0.2436804238269703,1.205104677296276,0.024020381744378483,4.593459868270046,-0.062215180202981224,-0.029973579862205613,0.17215889322497047,2.1456343957810997,0.5462807066085991,9.362568575975304,1.9048535754264693,20.277045784915217,0.8259048685078665,-0.052762390175065677,1.845353993998192
-0.17123755796239948,1.0582781257046712,-0.009119732348271903,-0.05479503542170594,0.0017110167518123998,0.17218726850864408,1.1175379735198003,0.022354327007555463,4.288677002652223,-0.058120429229730375,-0.0285792456709536,0.16306272483317774,1.9509151830076754,0.49022537146881473,8.705234935248162,1.7461789597865223,18.420349328239592,0.7047811644707678,-0.06845100254398773,1.625127472232411
-0.18106310873311815,1.0002499703882335,-0.03560649535288496,-0.055128987755875825,-0.004246358164530117,0.11587277058402101,1.046299163296383,0.02076350461367804,4.053678521667179,-0.05396216418390509,-0.02759600590760214,0.15430585754935122,1.8004071671650315,0.4479891121421984,8.223312042955042,1.6259962932669754,16.88282142246684,0.6056580501732638,-0.07906991516904216,1.4466898496858418
-0.18779285664886614,0.9605724425666553,-0.054546196758734955,-0.05591443654298722,-0.010193084897937688,0.07403999795001703,0.9906480970604474,0.019163370124132273,3.886376785608812,-0.050083811136312884,-0.027093574801620002,0.14520456506152213,1.6926585434051868,0.4187086594006484,7.90503048061937,1.542452747260051,15.64757603740805,0.5271507302492775,-0.08501107330013269,1.306999955481714
